airport_ident,length__meters,width__meters,le_ident,le_heading_degT,le_displaced_threshold__meters,he_ident,he_heading_degT,he_displaced_threshold__meters,le_latitude_deg,le_longitude_deg,he_latitude_deg,he_longitude_deg
06FA,2135,46,09,90,73,27,270,73,26.908100128173828,-80.33920288085938,26.908199310302734,-80.31770324707031
07MT,4115,91,10,120,0,28,300,0,48.430301666259766,-106.552001953125,48.411800384521484,-106.50399780273438
17FL,2301,64,18,180,549,36,255,593,29.290599822998047,-82.12480163574219,29.269899368286133,-82.12480163574219
2IG4,1768,30,18,180,0,36,335,470,38.85929870605469,-87.4999008178711,38.84339904785156,-87.49970245361328
89TE,2286,30,07,78,0,25,330,0,29.275800704956055,-103.6989974975586,29.280099868774414,-103.6760025024414
AGGH,2200,45,06,68,0,24,248,0,-9.431739807128906,160.0449981689453,-9.424260139465332,160.06399536132812
AHJ,3600,45,16,163,0,34,343,0,32.547001,102.347,32.516102,102.358002
ANYN,2150,45,12,121,50,30,301,116,-0.5411810278892517,166.91200256347656,-0.5537390112876892,166.92599487304688
AR-0462,1800,33,03,30,0,21,210,0,-1.0,-1.0,-1.0,-1.0
AU-0539,3700,476,05,152,61,23,238,61,15.0,-29.0,34.6,-78.1
AYMO,1870,45,16,161,0,34,341,60,-2.0539300441741943,147.42100524902344,-2.0698800086975098,147.427001953125
AYPY,2750,45,14L,148,0,32R,328,0,-9.430870056152344,147.21400451660156,-9.452099800109863,147.2270050048828
BGBW,1830,45,07,41,0,25,221,0,61.15439987182617,-45.4369010925293,61.16669845581055,-45.415000915527344
BGSF,2810,60,09,62,0,27,242,0,67.00559997558594,-50.743099212646484,67.0176010131836,-50.6864013671875
BGTL,3047,43,08T,85,0,26T,265,0,76.52999877929688,-68.7614974975586,76.53240203857422,-68.6447982788086
BIAR,2400,45,01,355,0,19,175,0,65.6500015258789,-18.07069969177246,65.66729736328125,-18.073999404907227
BIEG,2000,45,03,25,153,21,205,0,65.27459716796875,-14.411199569702148,65.29080200195312,-14.392800331115723
BIKF,3054,60,01,14,0,19,194,0,63.9645,-22.605499,63.991901,-22.6054
BIKF,3065,60,10,104,13,28,284,13,63.985001,-22.655001,63.985001,-22.5924
BKPR,3040,45,17,176,0,35,356,0,42.58533477783203,21.03459930419922,42.55803680419922,21.03737449645996
BR-0569,2100,45,15,126,0,33,306,0,-14.902299880981445,-40.92259979248047,-14.91349983215332,-40.90700149536133
BY-0009,2500,40,15,-1,0,33,-1,0,-1.0,-1.0,-1.0,-1.0
BY-9934,2473,42,11,-1,0,29,-1,0,-1.0,-1.0,-1.0,-1.0
CDL7,2406,75,17,-1,0,35,-1,0,-1.0,-1.0,-1.0,-1.0
CFG6,2100,45,16,-1,0,34,-1,0,-1.0,-1.0,-1.0,-1.0
CN-0061,2800,55,01,-1,0,19,-1,0,-1.0,-1.0,-1.0,-1.0
CN-0149,2400,50,08,80,0,26,260,0,-1.0,-1.0,-1.0,-1.0
CN-0164,3600,45,16,-1,0,34,-1,0,-1.0,-1.0,-1.0,-1.0
CN-0164,3600,45,17,166,0,35,346,0,36.28099822998047,120.37000274658203,36.25120162963867,120.37899780273438
CN-0218,2185,45,01,360,125,19,180,60,37.602174,117.885706,37.620729,117.885687
CRHA,2835,35,R20,-1,0,R23,-1,0,-1.0,-1.0,-1.0,-1.0
CVH,1935,30,13,142,0,31,322,0,36.90129852294922,-121.41799926757812,36.88759994506836,-121.40499877929688
CYAM,1829,61,04,34,0,22,214,0,46.47779846191406,-84.51529693603516,46.49169921875,-84.50189971923828
CYAM,1829,61,12,108,0,30,288,0,46.48600769042969,-84.52088165283203,46.4809684753418,-84.49822235107422
CYBC,1829,46,10,80,0,28,260,0,49.13090133666992,-68.21959686279297,49.13359832763672,-68.1948013305664
CYBG,3048,46,11,91,0,29,271,0,48.332801818847656,-71.01580047607422,48.33250045776367,-70.9749984741211
CYBG,1829,46,18,163,0,36,343,0,48.337501525878906,-70.99639892578125,48.3218994140625,-70.9894027709961
CYBL,1981,46,12,137,0,30,317,0,49.95833969116211,-125.2828140258789,49.945743560791016,-125.26329803466797
CYBR,1981,46,08,90,0,26,270,0,49.907100677490234,-99.96589660644531,49.907501220703125,-99.93830108642578
CYCD,2012,46,16,181,60,34,1,305,49.059200286865234,-123.87000274658203,49.045501708984375,-123.87000274658203
CYCH,3050,46,09,72,0,27,252,0,47.00529861450195,-65.46040344238281,47.01029968261719,-65.43789672851562
CYCL,1829,46,12,105,0,30,285,0,47.99250030517578,-66.34329986572266,47.98830032348633,-66.31939697265625
CYCZ,1830,30,15,170,0,33,350,250,50.34000015258789,-115.8759994506836,50.32389831542969,-115.87100219726562
CYDF,2440,46,07,48,0,25,228,0,49.205299377441406,-57.400699615478516,49.216400146484375,-57.38209915161133
CYEG,3353,61,02,34,0,20,214,0,53.30889892578125,-113.59600067138672,53.33420181274414,-113.56800079345703
CYEG,3109,61,12,135,0,30,315,0,53.306400299072266,-113.59500122070312,53.28670120239258,-113.56199645996094
CYET,1829,30,07,91,181,25,271,148,53.57899856567383,-116.47899627685547,53.578800201416016,-116.45099639892578
CYEV,1829,46,06,86,0,24,266,0,68.3031997680664,-133.5050048828125,68.30439758300781,-133.46099853515625
CYFB,2623,61,16,137,61,34,317,63,63.76537322998047,-68.5755386352539,63.74776840209961,-68.53666687011719
CYFC,2440,61,09,71,0,27,251,0,45.862998962402344,-66.55229949951172,45.87030029296875,-66.52249908447266
CYFC,1829,61,15,131,0,33,311,0,45.8744010925293,-66.53939819335938,45.86360168457031,-66.52169799804688
CYFS,1829,46,14,156,0,32,336,0,61.767799377441406,-121.24400329589844,61.75279998779297,-121.2300033569336
CYGL,1981,46,13,113,0,31,293,0,53.62879943847656,-77.71790313720703,53.62189865112305,-77.69039916992188
CYGM,2073,46,15,150,0,33,330,0,50.63610076904297,-97.04940032958984,50.61970138549805,-97.03469848632812
CYHD,1829,46,12,114,0,30,294,61,49.834999084472656,-92.75559997558594,49.82830047607422,-92.73190307617188
CYHM,1832,46,06,49,0,24,229,0,43.16669845581055,-79.93470001220703,43.1776008605957,-79.91780090332031
CYHM,3050,61,12,107,488,30,287,0,43.180599,-79.953102,43.172199,-79.917503
CYHU,2390,46,06L,47,335,24R,227,0,45.5107536315918,-73.42913055419922,45.525386810302734,-73.4068603515625
CYHY,1829,46,14,154,0,32,334,0,60.847198486328125,-115.7959976196289,60.83190155029297,-115.78299713134766
CYHZ,3200,61,05,35,0,23,215,110,44.86859893798828,-63.525001525878906,44.888301849365234,-63.50559997558594
CYHZ,2347,61,14,126,0,32,306,0,44.89360046386719,-63.5182991027832,44.881099700927734,-63.49420166015625
CYJT,3048,61,09,72,0,27,252,0,48.54029846191406,-58.569400787353516,48.54890060424805,-58.53030014038086
CYKA,2438,45,09,103,0,27,283,0,50.70389938354492,-120.45600128173828,50.70029830932617,-120.43099975585938
CYKF,2134,46,08,64,0,26,244,0,43.457969665527344,-80.38973236083984,43.465301513671875,-80.3667984008789
CYLS,1829,30,10,89,0,28,269,92,44.48529815673828,-79.56529998779297,44.485599517822266,-79.54640197753906
CYLW,2713,61,16,175,366,34,355,122,49.96609878540039,-119.37899780273438,49.94620132446289,-119.3759994506836
CYMJ,2538,46,11L,118,0,29R,298,0,50.33789825439453,-105.57499694824219,50.32699966430664,-105.54299926757812
CYMJ,2219,46,11R,118,0,29L,298,0,50.33110046386719,-105.5739974975586,50.32170104980469,-105.5459976196289
CYMM,2287,46,08,90,0,26,270,152,56.6531982421875,-111.24199676513672,56.6531982421875,-111.20700073242188
CYMT,1980,46,05,28,0,23,208,0,49.763999938964844,-74.53450012207031,49.779701232910156,-74.52149963378906
CYMX,3658,61,06,45,0,24,225,0,45.67040252685547,-74.0217514038086,45.69369125366211,-73.98856353759766
CYND,1829,46,09,75,0,27,255,0,45.51959991455078,-75.57489776611328,45.523799896240234,-75.55229949951172
CYOD,2521,61,04,52,0,22,232,0,54.39670181274414,-110.28500366210938,54.41059875488281,-110.25499725341797
CYOD,3840,61,13L,143,0,31R,323,0,54.41889953613281,-110.30500030517578,54.3911018371582,-110.2699966430664
CYOD,3048,46,13R,143,0,31L,323,0,54.41669845581055,-110.31099700927734,54.39440155029297,-110.28199768066406
CYOW,2438,61,07,57,0,25,237,0,45.31330108642578,-75.6709976196289,45.325199127197266,-75.6447982788086
CYOW,3048,61,14,126,0,32,306,0,45.32703399658203,-75.68624114990234,45.310791015625,-75.65492248535156
CYPG,2134,61,13R,133,0,31L,313,0,49.90769958496094,-98.28450012207031,49.89440155029297,-98.26329803466797
CYPQ,2134,30,09,76,0,27,256,503,44.22821044921875,-78.37615203857422,44.23286819458008,-78.3502426147461
CYPR,1829,61,13,152,0,31,332,0,54.29330062866211,-130.45199584960938,54.278900146484375,-130.43800354003906
CYQA,1829,46,18,169,244,36,349,0,44.98469924926758,-79.30829620361328,44.96860122680664,-79.30419921875
CYQB,2743,46,06,44,0,24,224,0,46.7822,-71.406403,46.799974,-71.381072
CYQD,1799,46,13,133,0,31,313,0,53.976898193359375,-101.10099792480469,53.96580123901367,-101.08100128173828
CYQG,2743,61,07,62,275,25,242,348,42.27330017089844,-82.97059631347656,42.2849006652832,-82.94120025634766
CYQI,1829,46,06,42,0,24,222,0,43.817501068115234,-66.09750366210938,43.8297004699707,-66.08219909667969
CYQK,1768,46,08,77,0,26,257,0,49.786598205566406,-94.3750991821289,49.79010009765625,-94.35130310058594
CYQL,1981,61,06,70,0,24,250,0,49.6239013671875,-112.81500244140625,49.62990188598633,-112.79000091552734
CYQM,3048,61,06,44,0,24,224,0,46.105988,-64.694305,46.126205,-64.667664
CYQM,2438,61,11,89,0,29,269,0,46.106842,-64.694359,46.1078,-64.662849
CYQQ,3048,61,12,135,0,30,315,0,49.720699310302734,-124.9020004272461,49.70119857788086,-124.87200164794922
CYQR,1890,46,08,89,0,26,269,0,50.4281005859375,-104.68000030517578,50.42829895019531,-104.65399932861328
CYQR,2408,46,13,138,0,31,318,0,50.43920135498047,-104.6709976196289,50.423301696777344,-104.64800262451172
CYQT,2231,61,07,70,0,25,250,0,48.37009811401367,-89.33380126953125,48.376800537109375,-89.3052978515625
CYQU,1890,61,07,89,0,25,269,0,55.18439865112305,-118.9000015258789,55.18439865112305,-118.87000274658203
CYQU,2591,45,12,135,122,30,315,0,55.190102,-118.904587,55.173679,-118.875717
CYQX,3109,61,03,11,0,21,191,0,48.920799255371094,-54.56829833984375,48.94839859008789,-54.56019973754883
CYQX,2713,61,13,107,0,31,287,0,48.95330047607422,-54.58639907836914,48.94609832763672,-54.55110168457031
CYQY,2155,61,06,46,0,24,226,0,46.15380096435547,-60.06119918823242,46.167198181152344,-60.041099548339844
CYQY,1828,46,18,165,0,36,345,0,46.16889953613281,-60.042198181152344,46.15250015258789,-60.03580093383789
CYRC,1855,46,12,106,0,30,286,0,48.51898193359375,-71.06260681152344,48.514747619628906,-71.03852081298828
CYRI,1829,46,05,33,0,23,213,0,47.75749969482422,-69.5916976928711,47.771400451660156,-69.5781021118164
CYRQ,2745,46,05,31,0,23,211,0,46.345699310302734,-72.68560028076172,46.359798431396484,-72.67320251464844
CYRT,1829,46,13T,129,0,31T,309,0,62.81660079956055,-92.12979888916016,62.80619812011719,-92.10189819335938
CYSB,2012,61,04,28,0,22,208,0,46.61750030517578,-80.80470275878906,46.63330078125,-80.79219818115234
CYSC,1829,46,13,119,0,31,299,0,45.442501068115234,-71.70159912109375,45.43450164794922,-71.68109893798828
CYSJ,2134,61,05,30,0,23,210,0,45.3025016784668,-65.89420318603516,45.31919860839844,-65.88059997558594
CYSM,1829,30,12,131,0,30,311,0,60.02750015258789,-111.9729995727539,60.016700744628906,-111.947998046875
CYSU,2438,61,06,36,0,24,216,0,46.431400299072266,-63.84280014038086,46.44919967651367,-63.82419967651367
CYTH,1768,46,05,61,0,23,241,0,55.7963981628418,-97.87470245361328,55.804100036621094,-97.85009765625
CYTR,3048,61,06,51,305,24,231,305,44.1088981628418,-77.54219818115234,44.12599182128906,-77.51644134521484
CYTS,1829,46,03,21,0,21,201,0,48.5630989074707,-81.37889862060547,48.57830047607422,-81.37000274658203
CYUL,3353,61,06L,43,0,24R,223,0,45.461063385009766,-73.7650146484375,45.4832763671875,-73.73592376708984
CYUL,2926,61,06R,41,0,24L,221,0,45.45766067504883,-73.74138641357422,45.477020263671875,-73.71601104736328
CYUL,2134,61,10,88,0,28,268,0,45.462501525878906,-73.76499938964844,45.46329879760742,-73.73829650878906
CYUY,2281,46,08,62,0,26,242,0,48.20100021362305,-78.8488998413086,48.210601806640625,-78.82170104980469
CYVB,1824,46,13,115,0,31,295,0,48.074501037597656,-65.47129821777344,48.06760025024414,-65.4490966796875
CYVO,3048,46,18,169,0,36,349,0,48.06669998168945,-77.7864990234375,48.039798736572266,-77.77880096435547
CYVP,1829,46,07,43,0,25,223,0,58.08440017700195,-68.43810272216797,58.09640121459961,-68.41670227050781
CYVQ,1828,46,09,119,0,27,299,0,65.28559875488281,-126.81500244140625,65.27770233154297,-126.78099822998047
CYVR,3030,61,08L,100,0,26R,280,0,49.20500183105469,-123.20099639892578,49.200599670410156,-123.16000366210938
CYVR,3505,61,08R,100,212,26L,280,0,49.190101623535156,-123.20800018310547,49.18439865112305,-123.16100311279297
CYVR,2225,61,13,142,0,31,322,0,49.19990158081055,-123.20099639892578,49.184200286865234,-123.18199920654297
CYWG,2652,61,13,137,0,31,317,0,49.91279983520508,-97.252197265625,49.895301818847656,-97.22720336914062
CYWG,3353,61,18,189,0,36,9,0,49.92530059814453,-97.23419952392578,49.895599365234375,-97.24169921875
CYWK,1829,46,18,157,0,36,337,0,52.93046569824219,-66.86924743652344,52.91498565673828,-66.86009979248047
CYWL,2134,46,11,135,0,29,315,0,52.18920135498047,-122.06400299072266,52.17580032348633,-122.04299926757812
CYXC,1829,46,16,178,0,34,358,0,49.61970138549805,-115.78299713134766,49.60329818725586,-115.78199768066406
CYXD,1789,61,12,138,244,30,318,361,53.57780075073242,-113.52799987792969,53.56560134887695,-113.51000213623047
CYXE,2530,61,09,101,0,27,281,0,52.17850112915039,-106.71800231933594,52.174198150634766,-106.68199920654297
CYXE,1890,46,15,165,0,33,345,0,52.179199,-106.705002,52.16294,-106.696728
CYXJ,2042,61,02,45,0,20,225,58,56.231998443603516,-120.75,56.244998931884766,-120.72699737548828
CYXJ,2103,46,11,136,0,29,316,0,56.244998931884766,-120.75299835205078,56.2317008972168,-120.7300033569336
CYXR,1828,46,08,63,0,26,243,0,47.69390106201172,-79.85800170898438,47.70130157470703,-79.83619689941406
CYXS,3490,46,15,170,0,33,350,152,53.900299072265625,-122.6709976196289,53.88029861450195,-122.66400146484375
CYXT,2285,46,15,172,0,33,352,0,54.47869873046875,-128.58999633789062,54.45840072631836,-128.5850067138672
CYXU,1920,61,09,78,0,27,258,0,43.03810119628906,-81.16390228271484,43.04169845581055,-81.14080047607422
CYXU,2682,61,15,139,0,33,319,0,43.04209899902344,-81.15979766845703,43.02399826049805,-81.13809967041016
CYXX,2926,61,07,87,0,25,267,90,49.01890182495117,-122.37999725341797,49.02040100097656,-122.33999633789062
CYXY,2895,46,14R,158,259,32L,338,427,60.72169876098633,-135.07699584960938,60.697601318359375,-135.0570068359375
CYYB,3048,61,08,65,0,26,245,0,46.35749816894531,-79.44080352783203,46.36920166015625,-79.40499877929688
CYYC,1890,46,08,90,0,26,270,0,51.10419845581055,-114.02999877929688,51.10419845581055,-114.00299835205078
CYYC,2438,61,11,120,0,29,300,0,51.126399993896484,-114.03700256347656,51.1156005859375,-114.00599670410156
CYYC,4267,61,17L,180,0,35R,0,0,51.14830017089844,-113.98999786376953,51.11000061035156,-113.98999786376953
CYYC,3863,61,17R,180,0,35L,360,0,51.13140106201172,-114.02100372314453,51.09659957885742,-114.02100372314453
CYYE,1951,61,04,57,0,22,237,0,58.8307991027832,-122.61599731445312,58.840301513671875,-122.58799743652344
CYYF,1829,45,16,182,0,34,2,91,49.469398498535156,-119.60099792480469,49.45309829711914,-119.60199737548828
CYYG,2134,46,03,9,0,21,189,0,46.279701232910156,-63.127498626708984,46.29859924316406,-63.12310028076172
CYYG,2134,46,10,79,0,28,259,0,46.29389953613281,-63.12900161743164,46.29650115966797,-63.109500885009766
CYYJ,2134,61,09,105,0,27,285,0,48.6510009765625,-123.44000244140625,48.645999908447266,-123.41200256347656
CYYQ,2804,49,15,153,0,33,333,0,58.74570083618164,-94.07769775390625,58.72330093383789,-94.0553970336914
CYYR,3367,64,08,55,0,26,235,0,53.30390167236328,-60.44810104370117,53.3213996887207,-60.406700134277344
