station_id, observation_time,raw_text
AGGH,2023-04-05T21:00:00Z,AGGH 052100Z 20003KT 9999 FEW019 BKN300 28/26 Q1009
AGGM,2023-04-05T21:00:00Z,AGGM 052100Z 00000KT 9999 FEW016 BKN300 27/26 Q1008
ANYN,2023-04-05T21:00:00Z,ANYN 052100Z 07004KT 9999 SCT020 BKN300 29/24 Q1009
AYMH,2023-04-05T20:00:00Z,AYMH 052000Z VRB03KT 9999 SCT020 -/- Q1020
AYNZ,2023-04-05T20:00:00Z,AYNZ 052000Z VRB003KT 9999 HZ SCT025 BKN070 24/22 Q1008
AYPY,2023-04-05T20:00:00Z,AYPY 052000Z VRB03KT 9999 FEW030 24/23 Q1006
BGBW,2023-04-05T20:50:00Z,BGBW 052050Z AUTO 25004KT 7000NDV -SHRASN SCT025/// BKN034/// BKN044/// 01/00 Q0996
BGGH,2023-04-05T20:50:00Z,BGGH 052050Z 01033KT 9999 NSC M01/M08 Q0997
BGJN,2023-04-05T20:50:00Z,BGJN 052050Z 02013KT 9999 FEW018 M12/M18 Q1016
BGKK,2023-04-05T20:50:00Z,BGKK 052050Z AUTO 07019KT 7000NDV -SN BKN021/// M04/M07 Q1000
BGSF,2023-04-05T20:50:00Z,BGSF 052050Z AUTO 06008KT 9999NDV NCD M10/M17 Q1015
BGTL,2023-04-05T20:55:00Z,BGTL 052055Z 12004KT 9999 CLR M22/M26 A3008 RMK SLP179 T12211265 52008 TSNO $
BIAR,2023-04-05T21:00:00Z,BIAR 052100Z 33006KT 9999 BKN009 OVC011 00/M01 Q1001
BIEG,2023-04-05T21:00:00Z,BIEG 052100Z 01003KT 9999 SCT050 BKN120 01/00 Q1000
BIKF,2023-04-05T21:00:00Z,BIKF 052100Z 24005KT 200V260 9999 FEW020TCU FEW034 SCT094 03/01 Q1000
BIRK,2023-04-05T21:00:00Z,BIRK 052100Z 20005KT 9999 VCSH FEW020CB SCT045 BKN091 04/02 Q1000
BKPR,2023-04-05T21:00:00Z,BKPR 052100Z 03007KT 9999 BKN025 01/M03 Q1016 NOSIG
CAHR,2023-04-05T21:00:00Z,CAHR 052100Z AUTO 06003KT M03/M08 RMK AO1 SOG 19 8007 SLP309 T10251084
CBAR,2023-04-05T21:00:00Z,CBAR 052100Z AUTO 30004KT ////SM NCD M09/M14 A2981
CBBC,2023-04-05T21:00:00Z,CBBC 052100Z AUTO 15009G15KT 9SM -RA OVC044 09/02 A2986 RMK SLP116
CERM,2023-04-05T21:00:00Z,CERM 052100Z AUTO 18004KT M00/M12 RMK AO1 SOG 82 6017 SLP296 T10011116
CMFM,2023-04-05T21:00:00Z,CMFM 052100Z AUTO 12007KT M07/M09 RMK AO1 7PAST HR SOG 126 5019 SLP270 P0007 T10691094 50052
CMGB,2023-04-05T21:00:00Z,CMGB 052100Z AUTO 05001KT 04/03 RMK AO1 4PAST HR 8024 SLP178 P0009 T00360028 50130
CPBT,2023-04-05T21:00:00Z,CPBT 052100Z AUTO 36004KT 04/M11 RMK AO1 T00401110
CPEH,2023-04-05T21:00:00Z,CPEH 052100Z AUTO 00000KT 03/M05 RMK AO1 T00321051
CPFI,2023-04-05T21:00:00Z,CPFI 052100Z AUTO 19004KT 02/M04 RMK AO1 T00241039
CPIN,2023-04-05T21:00:00Z,CPIN 052100Z AUTO 14006KT ////SM ////// ///// A////
CPIR,2023-04-05T21:00:00Z,CPIR 052100Z AUTO 35002KT 04/M04 RMK AO1 T00391037
CPRO,2023-04-05T21:00:00Z,CPRO 052100Z AUTO 11006KT 01/M03 RMK AO1 T00061029
CPRY,2023-04-05T21:00:00Z,CPRY 052100Z AUTO 25011KT 04/M06 RMK AO1 PK WND 27022/2059 T00351064
CPST,2023-04-05T21:00:00Z,CPST 052100Z AUTO 13006KT M00/M03 RMK AO1 T10031034
CPSV,2023-04-05T21:00:00Z,CPSV 052100Z AUTO 19006KT 01/M05 RMK AO1 T00071052
CTCK,2023-04-05T21:00:00Z,CTCK 052100Z AUTO 00000KT 01/M00 RMK AO1 5PAST HR SOG 23 6037 SLP155 P0021 T00061001 50149
CTNK,2023-04-05T21:00:00Z,CTNK 052100Z AUTO 00032KT 01/M00 RMK AO1 3PAST HR SOG 50 3004 SLP125 P0005 T00051001 50082
CTRA,2023-04-05T20:00:00Z,CTRA 052000Z AUTO 07005KT M06/M08 RMK AO1 7PAST HR SOG 49 5012 SLP983 P0003 T10621082 50011
CWAE,2023-04-05T21:00:00Z,CWAE 052100Z 23002KT 15SM OVC053 05/M05 A3006 RMK SC8 WIND EST SLP199
CWAF,2023-04-05T21:00:00Z,CWAF 052100Z AUTO 05010KT M02/M11 RMK AO1 T10191109
CWAJ,2023-04-05T21:00:00Z,CWAJ 052100Z AUTO 13005KT RMK AO1 50011
CWAQ,2023-04-05T21:00:00Z,CWAQ 052100Z AUTO 31009KT M05/M13 RMK AO1 SLP221 T10481133 58001
CWAR,2023-04-05T21:00:00Z,CWAR 052100Z AUTO 28016KT 02/M07 RMK AO1 PK WND 28025/2045 SLP200 T00211072 51045
CWAV,2023-04-05T21:00:00Z,CWAV 052100Z AUTO 08008KT 03/M13 RMK AO1 SOG 12 6008 SLP159 T00251126
CWBA,2023-04-05T21:00:00Z,CWBA 052100Z AUTO 06003KT M00/M02 RMK AO1 SOG 58 T10031017 50006
CWBK,2023-04-05T21:00:00Z,CWBK 052100Z AUTO 29009KT 01/M05 RMK AO1 T00051051
CWBO,2023-04-05T21:00:00Z,CWBO 052100Z AUTO 13004KT 04/M04 RMK AO1 SLP181 T00421043 56010
CWBS,2023-04-05T21:00:00Z,CWBS 052100Z AUTO 06021KT M01/M02 RMK AO1 PK WND 05028/2028 T10121019
CWBT,2023-04-05T21:00:00Z,CWBT 052100Z AUTO 31005KT 01/M14 RMK AO1 SLP278 T00121135 56009
CWBU,2023-04-05T21:00:00Z,CWBU 052100Z AUTO 00000KT M01/M18 RMK AO1 SOG 27 6012 SLP209 T10101181
CWBV,2023-04-05T21:00:00Z,CWBV 052100Z AUTO 21011KT 02/M04 RMK AO1 SLP291 T00211040 53002
CWBY,2023-04-05T21:00:00Z,CWBY 052100Z AUTO 26014G22KT M03/M12 RMK AO1 SOG 26 5014 PK WND 25022/2030 SLP285 T10311123
CWBZ,2023-04-05T21:00:00Z,CWBZ 052100Z AUTO 00000KT M00/M00 RMK AO1 0PAST HR 6018 SLP155 P0023 T10041002 50218
CWCF,2023-04-05T21:00:00Z,CWCF 052100Z AUTO 03011G24KT M06/M08 RMK AO1 0PAST HR SOG 08 6012 PK WND 02024/2051 SLP104 P0004 T10551078 50014
CWCI,2023-04-05T20:00:00Z,CWCI 052000Z AUTO 13025G34KT 02/01 RMK AO1 2PAST HR 6042 PK WND 12034/1955 SLP971 P0001 T00200010 50058
CWCJ,2023-04-05T21:00:00Z,CWCJ 052100Z AUTO 07004KT M01/M02 RMK AO1 6PAST HR SOG 76 6038 SLP966 P0010 T10071016 50045
CWCO,2023-04-05T21:00:00Z,CWCO 052100Z AUTO 17008KT 08/07 RMK AO1 2PAST HR 8020 SLP072 P0001 T00820066 50035
CWCT,2023-04-05T21:00:00Z,CWCT 052100Z AUTO 18011KT M05/M09 RMK AO1 SOG 23 6007 SLP210 T10521086
CWDA,2023-04-05T21:00:00Z,CWDA 052100Z AUTO 00030KT M02/ RMK AO1 T1023
CWDC,2023-04-05T21:00:00Z,CWDC 052100Z AUTO 15005KT 01/M10 RMK AO1 SOG 63 7012 SLP203 T00111101
CWDJ,2023-04-05T21:00:00Z,CWDJ 052100Z AUTO 31014KT M08/M14 RMK AO1 SOG 07 6003 SLP223 T10801141
CWDK,2023-04-05T21:00:00Z,CWDK 052100Z AUTO 09005KT 06/M06 RMK AO1 SOG 01 6009 SLP167 T00561060
CWDM,2023-04-05T21:00:00Z,CWDM 052100Z AUTO 30011KT M00/M12 RMK AO1 PK WND 31020/2023 SLP225 T10021123 50008
CWDO,2023-04-05T21:00:00Z,CWDO 052100Z AUTO 28017G24KT M04/M09 RMK AO1 PK WND 29025/2043 SLP181 T10401093 52027
CWDQ,2023-04-05T21:00:00Z,CWDQ 052100Z AUTO 18001KT M03/M05 RMK AO1 5PAST HR SOG 58 8030 SLP244 P0006 T10341050 50058
CWDV,2023-04-05T21:00:00Z,CWDV 052100Z AUTO 06004KT M02/M03 RMK AO1 4PAST HR SOG 70 6022 SLP946 P0002 T10221033 50010
CWDZ,2023-04-05T21:00:00Z,CWDZ 052100Z AUTO 18006KT 03/M05 RMK AO1 SLP176 T00291046 56010
CWEB,2023-04-05T21:00:00Z,CWEB 052100Z AUTO 00013KT 05/04 RMK AO1 7007 SLP168 T00540040 50003
CWEE,2023-04-05T20:00:00Z,CWEE 052000Z AUTO M02/M15 RMK AO1 SLP266 T10151146 56032
CWEF,2023-04-05T21:00:00Z,CWEF 052100Z AUTO 32027G33KT M03/M07 RMK AO1 PK WND 32033/2051 SLP262 T10281068 50015
CWEH,2023-04-05T21:00:00Z,CWEH 052100Z AUTO 25006KT M07/M09 RMK AO1 SOG 48 6007 SLP205 T10691087
CWEL,2023-04-05T21:00:00Z,CWEL 052100Z AUTO 11014KT 08/04 RMK AO1 PK WND 10017/2034 SLP202 T00770035 57009
CWEP,2023-04-05T21:00:00Z,CWEP 052100Z AUTO 31010KT M02/M07 RMK AO1 SOG 09 8004 SLP311 T10231071
CWEQ,2023-04-05T21:00:00Z,CWEQ 052100Z AUTO 03012KT M02/M12 RMK AO1 SOG 40 6010 PK WND 03017/2012 SLP170 T10231117
CWER,2023-04-05T21:00:00Z,CWER 052100Z AUTO 05024KT RMK AO1 PK WND 05028/2043
CWEU,2023-04-05T21:00:00Z,CWEU 052100Z 11009KT 15SM SKC M30/M34 A3022 RMK SLP254
CWEW,2023-04-05T21:00:00Z,CWEW 052100Z AUTO 00000KT M00/M01 RMK AO1 9PAST HR 6023 PK WND 06049/2009 SLP202 P0004 T10011008 50064
CWEZ,2023-04-05T20:00:00Z,CWEZ 052000Z AUTO 17014KT 09/02 RMK AO1 PK WND 16018/1949 SLP203 T00870021 58009
CWFD,2023-04-05T21:00:00Z,CWFD 052100Z AUTO ///// ////SM ////// M17/M25 A2993
CWFF,2023-04-05T21:00:00Z,CWFF 052100Z AUTO 28003KT M05/M18 RMK AO1 SOG 23 6007 SLP217 T10481175
CWFJ,2023-04-05T21:00:00Z,CWFJ 052100Z AUTO 30011G18KT 04/M13 RMK AO1 PK WND 25019/2008 T00351126
CWFQ,2023-04-05T21:00:00Z,CWFQ 052100Z AUTO 15009G17KT 03/03 RMK AO1 5PAST HR 8025 PK WND 16019/2024 SLP170 P0025 T00300026 50202
